xstart	xend	ystart	yend	color	centro
0.95	1.05	1	8018478	2	2750000
0.95	1.05	9018478	15828944	2	11018478
0.95	1.05	16828944	23808142	2	19328944
0.95	1.05	24808142	32382224	2	28558142
0.95	1.05	33382224	40224110	2	39132224
0.95	1.05	41224110	46410166	2	42324110
0.95	1.05	47410166	53485967	2	49910166
0.95	1.05	54485967	60825679	2	56525679
0.95	1.05	61825679	68370141	2	65075679
0.95	1.05	69370141	74974989	2	71620141
0.95	1.05	75974989	81856222	2	80274989
0.95	1.05	82856222	87804316	2	86356222
0.95	1.05	88804316	94226626	2	92204316
0.95	1.05	95226626	98815047	2	97626626
0.95	1.05	99815047	103886996	2	102565047
0.95	1.05	104886996	109659251	2	108286996
0.95	1.05	110659251	114340408	2	112159251
0.95	1.05	115340408	118696012	2	117590408
1.95	2.05	1	6156315	1	2315000
1.95	2.05	7156315	13218493	1	8951315
1.95	2.05	14218493	20252905	1	16198493
1.95	2.05	21252905	27219306	1	24452905
1.95	2.05	28219306	33776406	1	32734306
1.95	2.05	34776406	40330074	1	36236406
1.95	2.05	41330074	46513480	1	43220074
1.95	2.05	47513480	52626275	1	48893480
1.95	2.05	53626275	58413692	1	55671275
1.95	2.05	59413692	64061339	1	60928692
1.95	2.05	65061339	69700471	1	68611339
1.95	2.05	70700471	74676968	1	73690471
1.95	2.05	75676968	79246329	1	77696968
1.95	2.05	80246329	83813430	1	82531329
1.95	2.05	84813430	88308504	1	87513430
1.95	2.05	89308504	92738515	1	91728504
1.95	2.05	93738515	97056041	1	96173515
1.95	2.05	98056041	100929334	1	99961041
2.95	3.05	1	9506148	3	3000000
2.95	3.05	10506148	18515551	3	13356148
2.95	3.05	19515551	28465878	3	22565551
2.95	3.05	29465878	37989972	3	33015878
2.95	3.05	38989972	46876675	3	45239972
2.95	3.05	47876675	56362722	3	53926675
2.95	3.05	57362722	65168950	3	61812722
2.95	3.05	66168950	73909111	3	68618950
2.95	3.05	74909111	82010727	3	78459111
2.95	3.05	83010727	90149421	3	85660727
2.95	3.05	91149421	98125265	3	96799421
2.95	3.05	99125265	105851054	3	101275265
2.95	3.05	106851054	112485711	3	110401054
2.95	3.05	113485711	118787639	3	115335711
2.95	3.05	119787639	124176188	3	121237639
2.95	3.05	125176188	129931682	3	126426188
2.95	3.05	130931682	135547980	3	131881682
2.95	3.05	136547980	140911581	3	139397980
