Differential Line,90MN1B-1,90MN2B-1,90MN3B-1,90MN5B-1,90MN7B-1,90MN8B-2,90MN9B-4,90MN13B-3,90MN14B-1,90MN17B-1,90MN137-1,90MN148-1,90MN149-2,90MN152-1,90MN153-1,90WI131-1,90WI132-1,90SD164-1,90SD171-1,90SD172-1,90PA162-1,90KS101-1,90AR100-1,90GA16-1,90LA38-1,90TX45-1,90TX47-1,90TX52-1,90TX58-1,90TX70-1,15ND19-2,15ND19-5,15ND20-3,15ND20-4,15MN13-4,15MN14-4,15MN15-3,15MN16-3,15MN17-5,15MN18-1,15MN18-3,15MN10-4,15MN10-5,15MN27-3,15MN23-1,15MN24-1,15MN25-3,15SD30-1,15SD30-3,15SD11-1,15SD11-2,15NE8-4,15NE8-5,15NE9-1,15NE9-3,15OH12-3,15MS7-1,15TX3-1,15FL1-2,15FL1-4,203,12SD80,12NC29
Pc14,1,3,1,9,9,9,9,9,9,9,9,9,7,1,1,9,9,9,9,9,1,1,5,9,9,9,9,1,1,9,9,7,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,0,9,9,0,0,9,9
Pc35,1,1,1,6,8,7,1,9,9,8,9,9,9,9,1,1,1,1,8,1,9,1,9,1,1,6,7,1,1,2,4,6,2,4,2,9,0,0,0,0,2,2,0,9,9,9,2,2,2,9,9,2,0,0,0,0,2,2,2,4,3,9,5
Pc36,5,4,6,5,9,9,7,9,9,9,9,6,7,7,6,8,9,6,5,6,9,7,2,6,6,6,8,6,6,6,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,4
Pc38,5,5,5,0,8,6,1,6,9,7,9,4,5,4,4,2,4,2,5,4,5,2,1,2,5,9,6,2,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,0
Pc39,4,4,5,9,9,5,5,4,9,4,4,5,4,4,6,4,5,5,2,4,4,6,5,5,5,9,5,6,5,5,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,3
Pc40,1,1,1,9,9,7,8,9,9,9,7,8,9,4,1,7,7,9,9,9,1,1,9,7,9,9,8,2,1,9,9,9,7,9,6,5,9,9,9,7,9,9,7,9,9,9,6,9,9,9,2,9,9,9,9,9,4,9,8,4,3,9,9
Pc45,0,0,9,9,1,4,7,4,0,1,0,0,5,6,9,4,0,2,0,5,1,9,8,9,5,0,2,9,9,7,9,2,9,4,9,9,9,0,2,8,9,7,2,9,9,9,7,0,4,9,6,4,6,2,6,0,9,2,2,6,3,9,0
Pc46,5,5,6,8,5,6,5,5,5,6,8,9,1,9,6,5,8,4,8,2,8,6,9,5,5,5,5,6,5,5,7,7,6,7,7,4,4,9,4,7,7,9,4,6,9,7,7,4,4,9,9,9,7,4,4,9,9,4,4,7,5,9,4
Pc48,1,0,0,4,2,1,1,1,1,1,2,1,2,0,2,0,2,1,1,1,2,1,2,2,1,4,1,1,1,2,2,0,2,2,4,2,7,9,0,7,9,9,0,9,9,9,9,2,2,9,9,2,2,0,0,9,9,2,2,0,3,9,0
Pc50,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,9,0,9,0,0,0,0,0,0,9,9,0,2,0,9,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0
Pc51,3,2,3,9,9,2,1,1,9,9,9,3,3,3,3,1,2,1,3,2,3,4,1,3,1,3,1,4,3,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,2,9,9,9,9,3,9,3
Pc52,1,0,0,2,1,1,1,0,0,1,1,1,1,1,0,5,1,1,1,1,1,1,2,1,1,2,0,1,0,1,0,0,2,0,2,0,9,9,0,9,9,9,0,7,9,9,9,0,0,9,9,0,2,0,0,9,9,0,0,2,5,9,0
Pc53,0,1,0,6,1,2,1,1,1,1,6,1,2,2,5,1,1,7,1,1,1,1,9,1,1,1,5,1,5,1,2,2,9,2,0,7,4,0,2,9,6,0,2,7,7,7,9,0,0,4,4,9,2,0,7,6,0,9,0,4,9,9,0
Pc54,2,4,7,8,5,7,9,7,5,5,5,6,6,6,7,6,6,7,5,7,6,7,7,9,7,6,7,9,8,9,3,4,4,4,4,4,6,9,2,7,2,6,4,6,4,6,4,4,2,4,4,6,7,4,2,2,6,2,4,6,6,4,6
Pc55,4,2,1,7,9,2,5,2,9,2,4,4,4,4,5,2,4,2,2,5,2,2,2,5,5,9,4,5,4,5,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,4
Pc56,2,4,6,5,9,8,6,8,9,9,7,6,9,7,6,9,9,6,5,5,9,6,6,6,6,6,8,7,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,4
Pc57,1,1,6,9,5,6,2,2,5,1,5,5,1,5,6,4,6,9,2,9,2,6,1,5,9,2,5,6,6,6,6,4,4,6,9,9,9,9,9,9,7,9,9,7,9,9,9,7,9,9,9,9,9,6,9,9,9,4,9,9,3,9,5
Pc58,3,2,1,6,7,6,3,6,6,7,7,6,6,6,1,3,3,3,6,4,7,3,7,3,3,4,6,3,3,1,2,4,2,4,2,6,0,2,0,0,4,0,4,6,6,6,2,2,2,7,7,2,0,2,0,2,2,0,0,2,0,9,3
Pc59,4,5,5,6,5,4,1,4,4,2,5,9,5,5,6,9,9,5,4,6,1,6,2,2,5,4,5,5,5,2,6,4,4,6,6,7,9,9,7,7,9,9,6,9,9,9,9,6,6,9,9,4,6,7,7,2,9,7,4,9,0,9,3
Pc60,2,2,7,7,6,6,5,6,1,1,6,6,6,6,7,5,6,5,5,5,5,7,7,7,7,5,7,6,5,6,7,6,6,7,7,6,9,7,9,7,7,9,9,9,9,9,7,9,9,7,6,9,9,9,9,7,6,9,9,6,3,9,9
Pc61,1,1,4,7,1,2,2,4,1,1,2,2,5,5,6,2,2,7,1,6,3,5,1,5,6,5,2,5,2,2,4,4,4,6,7,7,9,9,9,7,7,7,9,9,9,9,9,9,9,9,7,9,9,9,9,7,9,9,9,6,3,9,9
Pc62,5,4,2,1,4,2,1,4,2,3,2,4,4,4,5,2,5,1,5,1,4,4,1,5,1,9,2,5,5,4,4,4,4,4,4,4,4,2,9,6,6,9,7,6,7,2,4,9,9,4,4,7,7,7,7,2,2,7,7,4,6,9,4
Pc63,1,1,1,1,8,1,1,1,7,0,7,1,1,1,1,1,0,1,2,2,1,1,1,1,2,8,2,1,2,1,7,7,7,7,7,7,9,7,7,7,6,7,9,7,7,7,7,9,9,9,9,7,9,7,7,7,7,9,7,7,7,9,0
Pc64,2,2,4,4,1,3,2,2,5,3,5,4,1,1,2,5,4,2,5,2,5,5,2,2,1,9,4,5,5,4,6,4,6,4,4,4,7,4,9,6,2,9,9,6,9,4,4,9,9,6,6,9,9,9,9,2,4,9,9,2,6,9,4
Pc67,9,9,8,9,8,8,7,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,8,8,8,9,9,9,9,8,8,7,7,7,8,9,8,8,9,9,7,6,9,7,6,6,6,9,9,9,6,9,9,9,9,8,6,9,9,6,7,9,7
Pc68,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,2,2,2,9,9,7,0,9,9,9,2,9,9,0,9,0,0,9,9,2,2,0,0,2,9,0,0,0,0,0,0
Pc70,2,2,1,8,9,2,4,5,9,4,6,5,5,5,7,5,2,4,5,5,6,6,6,5,6,9,6,6,5,5,9,9,7,9,7,9,9,4,2,9,7,6,6,9,9,9,6,4,2,7,9,7,4,4,9,6,7,7,4,9,5,6,0
Pc71,2,2,2,9,9,2,2,4,9,4,5,4,5,5,5,2,4,5,5,2,2,5,4,5,2,9,5,5,4,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,0
Pc91,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,1,2,4,0,2,2,2,9,9,6,9,9,9,4,4,4,9,6,4,4,8,9,4,4,4,4,4,9,4,4,9,0,0,0
Pc94,5,2,5,1,4,5,4,4,5,4,2,2,5,5,4,5,1,0,2,2,5,5,5,2,1,4,5,5,4,4,0,2,2,2,2,4,2,4,2,2,7,0,2,2,2,4,2,2,2,4,2,0,2,2,2,2,2,2,2,4,3,0,0
Pc96,1,1,0,1,1,5,1,3,5,1,2,1,4,5,1,5,0,1,1,2,1,1,1,1,1,1,2,1,0,1,2,2,2,2,0,2,9,0,9,4,2,0,9,2,2,2,2,9,9,0,0,7,0,9,7,0,0,7,9,0,3,0,0
Marvelous,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9
H548,4,4,4,9,5,5,5,5,5,5,4,5,5,5,5,4,4,5,4,4,4,5,4,5,5,5,5,5,5,5,4,4,4,4,4,4,9,9,4,9,4,6,4,6,4,6,4,4,4,6,4,6,7,2,4,6,2,4,4,6,5,4,4
IA B605Xsel.,0,1,7,9,1,1,6,1,0,1,0,1,1,5,9,1,1,1,1,2,1,9,7,7,1,0,1,9,9,6,9,2,9,2,9,9,9,0,2,9,9,9,2,9,9,9,6,2,2,9,4,4,4,2,2,4,9,2,2,4,3,9,0
WI X4361-9,5,4,3,3,4,3,1,2,5,3,5,9,5,5,5,9,9,6,2,6,1,6,1,1,5,4,3,5,2,1,6,6,4,6,6,6,9,9,7,9,9,9,7,9,9,9,9,6,7,9,9,4,6,7,6,2,7,7,6,9,0,9,3
TAM-O-405,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,9,0,7,9,9,0,9,9,2,2,2,2,0,0,2,2,2,0,2,0,2,0,0,0,0,0
Belle,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,2,2,2,0,2,0,9,0,7,7,9,0,9,9,9,9,2,2,2,0,2,2,2,4,2,2,2,2,0,0,0,0
HiFi,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,4,4,2,2,9,9,4,2,9,9,2,4,6,9,6,2,2,9,9,4,2,4,4,2,9,4,4,9,0,3,0
Leggett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,4,0,0,7,2,0,0,2,7,0,2,2,2,2,2,0,4,6,0,2,0,0,2,4,0,0,2,0,0,0
Stainless,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,2,0,0,9,7,2,0,9,9,2,4,7,9,9,0,2,0,0,0,2,2,4,0,6,2,4,0,0,0,0
