chr	chr_len	association_number
chr1_A_Pgt	6156315	1
chr2_A_Pgt	6062178	2
chr3_A_Pgt	6034412	3
chr4_A_Pgt	5966401	4
chr5_A_Pgt	5557100	5
chr6_A_Pgt	5553668	6
chr7_A_Pgt	5183406	7
chr8_A_Pgt	5112795	8
chr9_A_Pgt	4787417	9
chr10_A_Pgt	4647647	10
chr11_A_Pgt	4639132	11
chr12_A_Pgt	3976497	12
chr13_A_Pgt	3569361	13
chr14_A_Pgt	3567101	14
chr15_A_Pgt	3495074	15
chr16_A_Pgt	3430011	16
chr17_A_Pgt	3317526	17
chr18_A_Pgt	2873293	18
chr1_A_Pt	9506148	1
chr2_A_Pt	8009403	2
chr3_A_Pt	8950327	3
chr4_A_Pt	8524094	4
chr5_A_Pt	7886703	5
chr6_A_Pt	8486047	6
chr7_A_Pt	7806228	7
chr8_A_Pt	7740161	8
chr9_A_Pt	7101616	9
chr10_A_Pt	7138694	10
chr11_A_Pt	6975844	11
chr12_A_Pt	6725789	12
chr13_A_Pt	5634657	13
chr14_A_Pt	5301928	14
chr15_A_Pt	4388549	15
chr16_A_Pt	4755494	16
chr17_A_Pt	4616298	17
chr18_A_Pt	4363601	18
Pca203_chr1_A	8018478	1
Pca203_chr2_A	6810466	2
Pca203_chr3_A	6979198	3
Pca203_chr4_A	7574082	4
Pca203_chr5_A	6841886	5
Pca203_chr6_A	5186056	6
Pca203_chr7_A	6075801	7
Pca203_chr8_A	6339712	8
Pca203_chr9_A	6544462	9
Pca203_chr10_A	5604848	10
Pca203_chr11_A	5881233	11
Pca203_chr12_A	4948094	12
Pca203_chr13_A	5422310	13
Pca203_chr14_A	3588421	14
Pca203_chr15_A	4071949	15
Pca203_chr16_A	4772255	16
Pca203_chr17_A	3681157	17
Pca203_chr18_A	3355604	18
